啊: aakk
阿: eeek
埃: aitu
挨: aifu
哎: aikx
唉: aiku
哀: aiwy
皑: aibj
癌: aibe
蔼: aicv
矮: aiun
艾: yicx
碍: aiuc
爱: aip
隘: aiem
鞍: angn
氨: anqn
安: anbn
俺: anrd
按: anfn
暗: anoo
岸: aneg
胺: anon
案: anbm
肮: ahoj
昂: ahoe
盎: ahym
凹: wala
敖: aofw
熬: aofh
翱: aobx
袄: aopy
傲: aorw
奥: aopd
懊: aoxd
澳: aodd
芭: bacb
捌: bafd
扒: pafb
叭: bakb
吧: bakb
笆: bavb
八: bapn
疤: babb
巴: bavv
拔: bafd
跋: bazd
靶: bagb
把: bafb
耙: balb
坝: batr
霸: bayo
罢: piss
爸: babb
白: bdpo
柏: bomb
百: bdab
摆: bdfs
佰: bdrb
败: bdkw
拜: bduf
稗: bdhu
斑: bjww
班: bjww
搬: bjfy
扳: bjfy
般: bjvy
颁: bjbr
板: bjmy
版: bjpy
扮: bjfd
拌: pjfb
伴: bjrb
瓣: bjlu
半: bjdl
办: bjld
绊: bjsb
邦: bhfe
帮: bhfj
梆: bhme
榜: bhmf
膀: phof
绑: bhse
棒: bhml
磅: phuf
蚌: bhif
镑: bhjf
傍: bhrf
谤: bhyf
苞: bccs
胞: bcos
包: bcbs
褒: bcwy
剥: boed
薄: bocc
雹: bcys
保: bcrm
堡: purt
饱: bcus
宝: bcby
抱: bcfs
报: bcfy
暴: bcou
豹: bcvu
鲍: bcas
爆: bchu
杯: bwmb
碑: bwuu
悲: bwfx
卑: bwpu
北: bwlb
辈: bwfi
背: bwlo
贝: bwkr
钡: bwjr
倍: bwrk
狈: bwqr
备: bwwt
惫: bwwx
焙: bwhk
被: pipy
奔: bfdc
苯: bfcb
本: bfa
笨: bfvb
崩: bgeo
绷: bgso
甭: bgby
泵: bguu
蹦: bgzo
迸: bgzk
逼: bizt
鼻: bizl
比: bibb
鄙: bike
笔: bivm
彼: biiy
碧: biwu
蓖: bicb
蔽: bicw
毕: bibu
毙: bibb
毖: bibb
币: bipj
庇: bigb
痹: bibl
闭: bimc
敝: bidw
弊: bidc
必: bidd
辟: biuu
壁: biut
臂: bwuo
避: bizu
陛: biet
鞭: bmgg
边: bmzl
编: bmsc
贬: bmkf
扁: pmhc
便: pmrg
变: bmwy
卞: bmdx
辨: bmlu
辩: bmlu
辫: bmlu
遍: bmzc
标: bnmx
彪: bnhp
膘: bnox
表: bnfy
鳖: bpda
憋: bpdx
别: bpk
瘪: bpbb
彬: bbmp
斌: bbwv
濒: bbdr
滨: bbdb
宾: bbbb
摈: bbfb
兵: bkqb
冰: bkdu
柄: bkmb
丙: bkan
秉: bkpn
饼: bkuk
炳: bkhb
病: bkbb
并: bkbk
玻: bowy
菠: bocy
播: boft
拨: bofd
钵: bojb
波: body
博: bouc
勃: bwul
搏: bofc
铂: bojb
箔: bovb
伯: borb
帛: bobj
舶: bovb
脖: booz
膊: booc
渤: bodl
泊: podb
驳: bomx
捕: buff
卜: buld
哺: bukf
补: bupb
埠: butu
不: buad
布: buuj
步: buvp
簿: buvc
部: bule
怖: buxj
擦: cafx
猜: cdqo
裁: cduy
材: cdmc
才: cdap
财: cdkc
睬: cdom
踩: cdzm
采: cdpm
彩: cdpp
菜: cdcm
蔡: cdcx
餐: cjll
参: ufsp
蚕: cjti
残: cjdj
惭: cjxj
惨: cjxp
灿: cjhe
苍: chcv
舱: chvv
仓: chrv
沧: chdv
藏: zhci
操: ccfm
糙: ccmz
槽: ccmo
曹: ccao
草: cccu
厕: siid
策: cevn
侧: vdrd
册: cepa
测: ced
层: cgus
蹭: cgzo
插: iafj
叉: iayd
茬: iact
茶: iacm
查: iamd
碴: iaud
搽: iafm
察: iabx
岔: iabe
差: idyg
诧: iayq
拆: idfi
柴: idvm
豺: idvc
搀: ijfd
掺: xmfp
蝉: ijil
馋: ijud
谗: ijyd
缠: ijsl
铲: ijji
产: ijlp
阐: ijml
颤: vjwr
昌: ihoo
猖: ihqo
场: ihtp
尝: ihxs
常: ihxj
长: vhpn
偿: ihrs
肠: ihop
厂: ihap
敞: ihxw
畅: ihup
唱: ihko
倡: ihro
超: ictk
抄: icfu
钞: icju
朝: vcuo
嘲: vcko
潮: icdo
巢: icvg
吵: icku
炒: ichu
车: jual
扯: iefv
撤: iefw
掣: iepu
彻: ieid
澈: iedw
郴: ifme
臣: ifkl
辰: ifin
尘: ifxt
晨: ifon
忱: ifxv
沉: ifdj
陈: ife
趁: iftp
衬: ifpc
撑: igfu
称: ighx
城: igti
橙: igma
成: igwv
呈: igkw
乘: ugqn
程: ighw
惩: igix
澄: igda
诚: igyi
承: igvn
逞: igzw
骋: igmv
秤: ighp
吃: iikq
痴: iibk
持: iifc
匙: uiob
池: iidy
迟: iizi
弛: iigy
驰: iimy
耻: iiev
齿: iivk
侈: iirx
尺: iiun
赤: iitd
翅: iiux
斥: iipd
炽: iihb
充: iswe
冲: isdv
虫: isvd
崇: isex
宠: isbl
抽: izfy
酬: izyv
畴: iztc
踌: izzc
稠: izhk
愁: izhx
筹: izvc
仇: qqrj
绸: izsk
瞅: izoh
丑: izva
臭: xqzq
初: iupd
出: iuvk
橱: iumc
厨: iuic
躇: iuzo
锄: iujl
雏: iudf
滁: iudh
除: iueh
楚: iumr
础: iuui
储: iuro
矗: iuuq
搐: iuft
触: iudi
处: iuwb
揣: vvfe
川: irpl
穿: irby
椽: irmu
传: irrv
船: irvk
喘: irke
串: irll
疮: ilbv
窗: ilbw
幢: vljl
床: ilgm
闯: ilmm
创: ilrd
吹: ivkr
炊: ivhr
捶: ivfi
锤: ivji
垂: ivpa
春: iyfo
椿: iymo
醇: iyyz
唇: iyik
淳: vydz
纯: iyst
蠢: iyfi
戳: ioxg
绰: icsu
疵: cibb
茨: cicr
磁: ciuy
雌: civf
辞: ciqu
慈: cibx
瓷: cidw
词: ciyk
此: civb
刺: ciad
赐: cikw
次: cidr
聪: csex
葱: cscx
囱: cspw
匆: csbd
从: csrr
丛: csra
凑: czdt
粗: cum
醋: cuyo
簇: cuvu
促: curr
蹿: crzi
篡: crvs
窜: crb
摧: cvff
崔: cvef
催: cvr
脆: cvov
瘁: cvbu
粹: cvmu
淬: cvdu
翠: cvxu
村: cym
存: cyuz
寸: cyad
磋: coug
撮: zofy
搓: cofg
措: cofo
挫: coft
错: cojo
搭: dafk
达: dazd
答: davk
瘩: dabk
打: dafd
大: ddun
呆: ddkm
歹: ddax
傣: ddru
戴: ddub
