亍: iuel
兀: wuae
丐: gdav
廿: nmaa
卅: saal
丕: piba
亘: gfad
丞: igla
鬲: geal
孬: ncbz
噩: eeaa
禺: yuld
匕: bipv
夭: ycpd
爻: ycxx
卮: vipv
氐: diud
囟: xbpx
胤: ybpv
馗: kvjz
毓: yupv
睾: gcpg
鼗: tcey
亟: qila
鼐: ndnv
乜: npvv
乩: jilv
亓: qiel
芈: mill
孛: bwuz
啬: seuk
嘏: guuy
仄: zeir
厍: ueii
厝: coio
厣: yjij
厥: jtir
厮: siij
靥: yeim
赝: yjir
叵: pokk
匦: gvkj
匮: gvkr
匾: bmkc
赜: zekr
卦: gxtb
卣: yzla
刈: yixd
刎: wfwd
刭: jkvd
刳: kudd
刿: gved
剀: kded
剌: laud
剞: jidd
剡: yjhd
剜: wjbd
蒯: kkcd
剽: pnxd
劂: jtid
劁: qnrd
劐: hocd
劓: yizd
罔: whkw
仃: dkrd
仉: vhrj
仂: lerl
仨: sars
仡: yirq
仫: murm
仞: rfrr
伛: yurx
仳: pirb
伢: yary
佤: warw
仵: wurw
伥: ihri
伧: ifrv
伉: khrj
伫: vura
佞: nkrn
攸: yzrw
佚: dpru
佝: gzrk
佟: tsrd
佗: torb
伲: nirb
伽: qprk
佶: jirk
佴: ndre
侑: yzro
侉: kxrk
侃: kjrv
侏: vurv
佾: yiro
佻: tnrd
侪: idrl
佼: jnrx
侬: nsrn
侔: mzrn
俦: izrc
俨: yjry
俪: lirl
俅: qqrq
俚: lirl
俣: yurt
俜: pkrv
俑: ysry
俟: qiru
俸: fgrl
倩: qmro
偌: rork
俳: pdrf
倬: voru
倏: uurq
倮: lorg
倭: worn
俾: biru
倜: tirk
倌: grrk
倥: ksrg
倨: jurk
偾: ffrr
偃: yjrn
偕: xprb
偈: jprv
偎: wwrn
偬: zsrx
偻: lzrn
傥: thre
傧: bbrb
傩: norf
傺: iirx
僖: xirk
儆: jkrw
僭: jmro
僬: jnrh
僦: jqry
僮: vlrl
儇: xrry
儋: djrk
仝: tsrg
佘: uerx
佥: qmra
俎: zurq
龠: ytrc
汆: crru
籴: dirm
兮: xibv
巽: xysb
黉: hsxb
馘: goba
冁: ijbn
夔: kvbw
匍: pubf
訇: hsbk
匐: fubt
凫: fupj
夙: sujd
兕: siae
兖: yjwe
亳: bowq
衮: gywy
袤: mcwy
亵: xpwy
脔: lrwr
裒: pzwy
禀: bkwx
嬴: ykwf
蠃: lowf
羸: lwwf
冱: hudh
冽: lpdd
冼: xmde
凇: ssds
冢: vsbn
冥: mkbb
讦: jpyg
讧: hsyg
讪: ujye
讴: ouyx
讵: juyj
讷: neyn
诂: guyk
诃: heyk
诋: diyd
诏: vcyk
诎: quyi
诒: yiyk
诓: klyw
诔: lwyl
诖: gxyt
诘: jpyk
诙: hvyh
诜: ufye
诟: gzyk
诠: qryw
诤: vgyl
诨: hyyi
诩: xuyx
诮: qnyo
诰: gcyk
诳: klyw
诶: eiyu
诹: zzyy
诼: voyn
诿: wwyn
谀: yuyy
谂: ufyx
谄: ijyj
谇: svyu
谌: ufyv
谏: jmyj
谑: xtya
谒: yeyv
谔: eeyk
谕: yuyd
谖: xryy
谙: anyo
谛: diyj
谝: pmyc
谟: moyd
谠: dhye
谡: suyw
谥: uiym
谧: miym
谪: veyk
谫: jmyd
谮: zfyo
谯: qnyh
谲: jtyk
谳: yjyq
谵: vjyk
谶: ifyj
卺: jblv
阡: qmeq
阱: jkej
阪: bjey
阽: dmek
阼: zoev
陂: poey
陉: xkeg
陔: gder
陟: viep
陧: npet
陬: zzey
陲: ivei
陴: pieu
隈: wwen
隍: hlew
隗: wweg
隰: xieh
邗: hjge
邛: qsge
邝: klge
邙: mhwe
邬: wuwe
邡: fhfe
邴: bkbe
邳: pipe
邶: bwle
邺: yeye
邸: dide
邰: tdse
郏: jxje
郅: viae
邾: vuve
郐: kkre
郄: xixe
郇: xybe
郓: yybe
郦: lile
郢: ykke
郜: gcne
郗: xixe
郛: fupe
郫: pipe
郯: tjhe
郾: yjke
鄄: jrxe
鄢: yjve
鄞: ybne
