丏: mmav
乂: yipn
乸: naym
亶: djwd
亸: dowl
亹: wwwq
伈: xbrx
伋: jirj
伣: qmre
伭: xmry
伾: pirp
佁: yirk
佖: birb
佢: qurj
佸: hork
佺: qrrw
佽: cirr
侁: ufre
侂: torq
侘: iarq
侴: hcrd
侹: tkrz
係: xirx
俍: llrl
俙: xirj
俤: dirp
俫: ldrl
俵: bnry
俶: tiry
倓: tjrh
倕: ivri
倞: llrx
倧: zsrx
倴: bfrc
倻: yere
偁: igrr
偓: wort
偡: vjrv
偭: mmrm
偰: xprd
偲: sirx
傃: surx
傉: nurc
傒: xird
傕: qtrf
僇: lurp
僎: vrrb
僔: zyrc
僰: boar
儦: bnrh
儳: ijrd
儴: xlry
冇: mcuk
冏: jskk
冔: xuky
冚: kjbe
冧: lbbm
冮: ghdg
凓: lidm
凘: sidj
刬: ijjd
剅: lzad
剋: kwud
剕: fwfd
剟: doyd
劄: vavd
劏: thxd
劼: jpul
勍: qkwl
勔: mmml
勚: yiul
勠: luxl
匜: yiky
匼: kekk
卌: xial
卬: yhpe
厖: mhid
厾: duvs
叆: aiey
叇: ddez
叒: royy
叕: yiyy
叚: xxvy
吔: yeky
吽: hskn
呇: qiuk
呣: omkm
呯: pkkp
咁: gjkg
咇: bikb
咉: yhky
咍: hdkk
咗: zokg
咡: erke
咥: dpkt
咺: xrkg
哃: tskk
哋: diky
哢: lskc
哱: pokz
唓: ieki
唝: gskr
唞: dzku
唵: ankd
啩: gxkb
啫: uiko
啰: lokx
啲: diku
啴: ijkl
喆: veuk
喤: hlkw
喺: xikx
嗐: hdkk
嗞: ziky
嗱: naku
嗻: vekh
嘅: gekv
嘚: dekc
嘡: thkt
嘢: yekl
嘥: sdkr
噀: xykb
噂: zykc
噃: bokt
噇: ilkl
嚄: ooky
嚚: ybkk
嚟: liku
嚡: hdkt
嚭: piuk
囧: jskv
囷: qykh
圌: ivke
圐: kukf
圙: ltkm
圢: tktd
圫: vytq
圲: qmtq
坉: tytt
坋: bftd
坒: bibt
坥: qutq
坬: gxtg
坰: jstk
坽: lkts
垈: ddrt
垍: jitz
垎: hetk
垏: lvty
垕: hzpt
垙: gltw
垚: yctt
垞: iatq
垟: yhty
垯: datz
垱: dhte
垵: antn
垺: futz
垾: hjtg
垿: xutl
埆: jtty
埇: ysty
埌: lhtl
埗: butp
埪: kstg
埫: uhtk
埵: doti
埼: qitk
堃: kyft
堉: yuto
堌: gutk
堎: lgtw
堐: yatt
堧: rrtd
堨: yetv
堲: jigt
堼: fgtt
堽: ghtv
堾: irto
塅: drty
塆: wjtg
塝: bhtf
塱: lhdt
墈: kjtl
墐: jbta
墕: yjth
墘: qmtq
墡: ujtk
墣: putn
墦: fjtt
壸: kyuy
夐: xsdw
夬: gkvn
奀: enbd
奓: vadx
奡: aoal
奭: uidb
妘: yyns
妧: yrne
妭: band
姈: lkns
姞: jink
姤: gznk
姮: hgng
姱: kxnk
姶: eenk
姽: gvnv
娀: ssnu
娵: juny
婌: uuny
婍: qink
婘: qrnv
婞: xkng
婠: wjnk
婤: vznk
婫: kynb
婳: hxnk
婻: njng
婼: ronk
媂: tinj
媄: mwnd
媆: nfnd
媓: hlnw
媖: ykny
媞: tinr
媭: xupn
媱: ycnf
嫄: yrnx
嫐: ncnn
嫕: yinx
嫚: mjny
嫪: lcnp
嫭: hunh
嫽: lnnx
嬛: xrny
嬥: tnnf
嬬: rune
嬿: yjnh
孃: nlny
孅: xmnj
孖: zizz
宧: yibi
宬: igbi
寁: zjbr
尨: phud
尪: whuw
屃: xiur
屄: biub
屌: dnuj
屼: wuew
屾: ufee
岊: jpbe
岞: zoev
岠: juej
岨: jueq
峂: tsed
峃: xtxe
峗: wwev
峘: hreg
峛: lied
峣: ycew
峧: jnex
峱: ncqe
峿: wuek
崀: lhel
崁: kjer
崄: xmea
崌: juek
崑: kyeb
崒: zueu
崚: lkew
崟: ybej
崡: hjek
崶: fgec
崿: eeek
嵁: vjev
嵅: hjek
嵎: yuey
嵖: iaed
嵚: qber
嵲: npem
嶅: aofe
嶍: xieb
嶒: cgeo
嶓: boet
嶟: zyec
嶦: vjek
嶲: jrev
巇: xieg
巉: ijed
帡: pkjk
帨: uvje
幖: bnjx
幪: mgjn
庤: vigc
庱: iggw
庼: qkgr
廆: gvgg
廋: szgy
廙: yigb
弆: jutc
弇: yjrc
弢: tcgy
弨: icgk
弶: jlgx
弸: pggo
彟: hoey
彧: yuad
徛: jiik
忞: wfwx
忳: tyxt
忺: xmxr
恓: qixx
恔: jnxx
悆: yurx
悈: kexc
悢: llxl
悰: csxx
惇: dyxz
惎: jiqx
惔: tjxh
惗: nmxx
惙: ivxy
惛: mfxo
愃: xrxg
愐: mmxm
愔: ybxo
愭: qixo
慆: tcxj
慥: zcxz
慬: qbxa
慭: yblx
憕: dgxa
憙: xiux
憭: lnxx
憺: djxk
戣: kvvg
戭: yjbg
扂: dmhk
扅: yihx
扆: yihy
扊: yjhh
扞: hjfg
扺: vifu
扽: dfft
抃: bmfb
抔: pzfb
拃: vafv
拤: qxfb
挓: vafq
挦: xmfc
捯: dcfd
捽: zofu
掞: yjfh
掟: dkfr
揕: vffv
揳: xpfd
揼: bgfu
揾: wffm
搒: pgff
搣: mpfh
摏: isfj
摛: iifd
摴: iufk
摽: bnfx
撚: nmfh
擝: mgfm
擿: vifz
攞: loff
攰: gvul
攽: bjbw
敔: yuww
敩: xtxw
斝: jxku
斠: jnju
斶: iuji
旐: vcfd
旞: svfz
旴: xuoy
旵: ijoe
旸: yhop
旻: mbow
旿: wuow
昄: bjoy
昇: ugou
昈: huoh
昉: fhof
昒: huow
昡: xroy
昣: vfop
昤: lkos
昪: bmoc
昫: xuok
昳: yiou
昺: bkob
昽: lsol
晅: xrog
晊: viot
晐: gdor
晙: jyow
晞: xioj
晢: vefo
晪: tmob
晫: voou
晱: ujoh
暅: xrog
暕: ljoj
暲: vhou
暵: hjon
暶: xror
暿: xiok
曈: tsol
曌: vcog
朏: kuoi
朓: tnod
朳: bamb
朸: liml
杄: qmmq
杕: dimd
杙: yimy
杧: mhmw
杻: izmi
枅: jimk
枍: yimv
枲: xism
枹: bcms
柈: pjmb
柊: vsmd
柖: ucmk
柷: vume
栐: ysmy
栒: xymo
栟: bfmk
栴: vjmd
栻: uimg
桯: ykmw
桲: bomz
桹: lhml
梌: tumh
梠: lvmk
梣: ifmv
梴: ijmz
梼: tcmc
梽: vimx
梾: ldml
梿: lmmz
棁: vome
棐: fwfm
棓: bwmk
棤: qtmo
棨: qihm
棪: yjmh
棫: yuma
棬: jrmv
棻: ffcm
棽: ifmv
椀: wjmv
椆: izmk
椑: bwmu
椓: vomn
椪: pgmy
椸: yimy
楒: simx
楙: mcmm
楩: pmmg
楪: yemm
楯: dymo
榃: tjmt
榅: wfmm
榑: bomc
榖: guuy
榰: vimo
槃: pjvm
槑: mwkm
槚: jxmr
槜: zvmn
槱: yzmh
橑: lnmx
橞: hvmx
橦: tsml
檞: jpmn
櫆: kvmu
欂: bomc
欸: eisr
欻: xuhr
歅: yjxr
殣: jbda
毌: wjva
毐: aiuw
氾: fjdv
